domain,path,method,operationId,summary,tags,x_sage_pathtitle,x_sage_professional_only,full_url_example,consumes,produces,source_file
Cash Book,/bank_account_types,GET,GetBankAccountTypes,Bank Account Types,Bank Account Types,Bank account types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_account_types,,application/json,cash-book.json
Cash Book,/bank_entry_types,GET,GetBankEntryTypes,Bank Entry Types,Bank Entry Types,Bank entry types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_entry_types,,application/json,cash-book.json
Cash Book,/bank_payment,POST,PostBankPayment,Bank Payment,Bank Payment,Bank payment,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_payment,application/json,application/json,cash-book.json
Cash Book,/bank_posted_transactions,GET,GetBankPostedTransactions,Bank Posted Transactions,Bank Posted Transactions,Bank posted transactions,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_posted_transactions,,application/json,cash-book.json
Cash Book,/bank_posted_transactions/{Id},GET,GetBankPostedTransaction,Bank Posted Transaction,Bank Posted Transactions,Bank posted transaction,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_posted_transactions/{Id},,application/json,cash-book.json
Cash Book,/bank_receipt,POST,PostBankReceipt,Bank Receipt,Bank Receipt,Bank receipt,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_receipt,application/json,application/json,cash-book.json
Cash Book,/bank_transfer,POST,PostBankTransfer,Bank Transfer,Bank Transfer,Bank transfer,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_transfer,application/json,,cash-book.json
Cash Book,/bank_views,GET,GetBankViews,Bank Views,Bank Views,Bank views,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/bank_views,,application/json,cash-book.json
Cash Book,/banks,GET,GetBanks,Banks,Banks,Banks,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/banks,,application/json,cash-book.json
Cash Book,/banks,POST,PostBank,Banks,Banks,Banks,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/banks,application/json,application/json,cash-book.json
Cash Book,/banks/{Id},DELETE,DeleteBank,Bank,Banks,Bank,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/banks/{Id},,application/json,cash-book.json
Cash Book,/banks/{Id},GET,GetBank,Bank,Banks,Bank,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/banks/{Id},,application/json,cash-book.json
Cash Book,/banks/{Id},PUT,PutBank,Bank,Banks,Bank,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/banks/{Id},application/json,application/json,cash-book.json
Cash Book,/banks/{bankId}/bank_posted_transactions,GET,GetBankPostedTransactionsForBankAccount,Bank Posted Transactions For Bank Account,Bank Posted Transactions,Bank posted transactions for bank account,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/banks/{bankId}/bank_posted_transactions,,application/json,cash-book.json
Cash Book,/cash_book_settings,GET,GetCashBookSettings,Cash Book Settings,Cash Book Settings,Cash Book settings,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/cash_book_settings,,application/json,cash-book.json
Cash Book,/cash_book_settings/{Id},GET,GetCashBookSetting,Cash Book Setting,Cash Book Settings,Cash Book setting,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/cash_book_settings/{Id},,application/json,cash-book.json
Cash Book,/electronic_bank_function_types,GET,GetElectronicBankFunctionTypes,Electronic Bank Function Types,Electronic Bank Function Types,Electronic bank function types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/electronic_bank_function_types,,application/json,cash-book.json
Cash Book,/lookup_banks,GET,GetLookupBanks,Lookup Banks,Lookup Banks,Lookup Banks,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/lookup_banks,,application/json,cash-book.json
Commercials,/confirmation_intent_types,GET,GetConfirmationIntentTypes,Confirmation Intent Types,Confirmation Intent Types,Confirmation Intent Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/confirmation_intent_types,,application/json,commercials.json
Commercials,/intrastat_date_types,GET,GetIntrastatDateTypes,Intrastat Date Types,Intrastat Date Types,Intrastat Date Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/intrastat_date_types,,application/json,commercials.json
Commercials,/intrastat_terms_of_delivery_types,GET,GetIntrastatTermsOfDeliveryTypes,Intrastat Terms Of Delivery Types,Intrastat Terms Of Delivery Types,Intrastat Terms Of Delivery Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/intrastat_terms_of_delivery_types,,application/json,commercials.json
Commercials,/order_return_line_types,GET,GetOrderReturnLineTypes,Order Return Line Types,Order Return Line Types,Order return line types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/order_return_line_types,,application/json,commercials.json
Financials,/account_status_types,GET,GetAccountStatusTypes,Account Status Types,Account Status Types,Account Status Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/account_status_types,,application/json,financials.json
Financials,/aged_balances_ageing_types,GET,GetAgedBalancesAgeingTypes,Aged Balances Ageing Types,Aged Balances Ageing Types,Aged balances ageing types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/aged_balances_ageing_types,,application/json,financials.json
Financials,/allocation_status_types,GET,GetAllocationStatusTypes,Allocation Status Types,Allocation Status Types,Allocation Status Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/allocation_status_types,,application/json,financials.json
Financials,/communication_contact_types,GET,GetCommunicationContactTypes,Communication Contact Types,Communication Contact Types,Communication Contact Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/communication_contact_types,,application/json,financials.json
Financials,/communication_location_types,GET,GetCommunicationLocationTypes,Communication Location Types,Communication Location Types,Communication Location Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/communication_location_types,,application/json,financials.json
Financials,/communication_outcome_types,GET,GetCommunicationOutcomeTypes,Communication Outcome Types,Communication Outcome Types,Communication Outcome Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/communication_outcome_types,,application/json,financials.json
Financials,/communication_style_types,GET,GetCommunicationStyleTypes,Communication Style Types,Communication Style Types,Communication Style Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/communication_style_types,,application/json,financials.json
Financials,/communication_types,GET,GetCommunicationTypes,Communication Types,Communication Types,Communication Types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/communication_types,,application/json,financials.json
Financials,/contact_number_types,GET,GetContactNumberTypes,Contact Number Types,Contact Number Types,Contact number types,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/contact_number_types,,application/json,financials.json
Financials,/country_codes,GET,GetCountryCodes,Country Codes,Country Codes,Country codes,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/country_codes,,application/json,financials.json
Financials,/country_codes/{Id},GET,GetCountryCode,Country Code,Country Codes,Country code,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/country_codes/{Id},,application/json,financials.json
Financials,/credit_bureaus,GET,GetCreditBureaus,Credit Bureaus,Credit Bureaus,Credit bureaus,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/credit_bureaus,,application/json,financials.json
Financials,/credit_bureaus/{Id},GET,GetCreditBureau,Credit Bureau,Credit Bureaus,Credit bureau,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/credit_bureaus/{Id},,application/json,financials.json
Financials,/credit_positions,GET,GetCreditPositions,Credit Positions,Credit Positions,Credit positions,,https://api.columbus.sage.com/uk/sage200extra/accounts/v1/credit_positions,,application/json,financials.json
